                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.60519,                0.54269,                0.97145,                0.61154,                 0.4087,                0.42678,                0.33973,                0.96073,                 1.7758,                 1.2382,             0.00024747,             0.00024747,             0.00024747
                     69,                0.60541,                0.53211,                0.97497,                0.59444,                 0.4072,                0.43061,                0.34284,                  0.961,                 1.7875,                 1.2341,              0.0002404,              0.0002404,              0.0002404
                     70,                0.59698,                0.52515,                0.97061,                0.58858,                0.41033,                0.44291,                0.35383,                0.95703,                   1.76,                 1.2317,             0.00023334,             0.00023334,             0.00023334
                     71,                0.59546,                0.52291,                0.96758,                0.61788,                0.39403,                0.43291,                0.34548,                0.96413,                 1.7711,                 1.2467,             0.00022627,             0.00022627,             0.00022627
                     72,                0.58265,                0.50994,                0.96124,                0.61784,                0.41084,                0.43379,                0.34676,                0.95799,                 1.8075,                 1.2329,              0.0002192,              0.0002192,              0.0002192
                     73,                0.58695,                0.50246,                0.96164,                0.62911,                0.39384,                0.43664,                 0.3466,                0.95964,                 1.7874,                  1.234,             0.00021213,             0.00021213,             0.00021213
                     74,                0.57949,                0.49678,                0.95745,                0.60988,                0.41873,                 0.4461,                0.36087,                 0.9578,                 1.7707,                 1.2426,             0.00020506,             0.00020506,             0.00020506
                     75,                0.57424,                0.48764,                0.95631,                0.62193,                 0.3932,                0.43813,                0.35245,                0.95901,                 1.7459,                  1.239,             0.00019799,             0.00019799,             0.00019799
                     76,                 0.5772,                0.48751,                0.95443,                 0.6038,                0.42003,                0.44975,                0.36157,                0.95699,                 1.7887,                 1.2443,             0.00019092,             0.00019092,             0.00019092
                     77,                0.57044,                0.48368,                0.94967,                 0.6707,                 0.3974,                0.44624,                0.35457,                0.95634,                  1.761,                 1.2351,             0.00018385,             0.00018385,             0.00018385
                     78,                0.56983,                0.48221,                0.95725,                0.67605,                0.40367,                0.45217,                  0.363,                 0.9622,                 1.7736,                 1.2384,             0.00017679,             0.00017679,             0.00017679
                     79,                0.56557,                0.47053,                0.95343,                0.65647,                0.40585,                0.44294,                0.35297,                0.95563,                 1.8077,                 1.2366,             0.00016972,             0.00016972,             0.00016972
                     80,                0.55866,                 0.4644,                0.94881,                  0.602,                0.43277,                0.44633,                 0.3585,                 0.9544,                 1.7779,                 1.2283,             0.00016265,             0.00016265,             0.00016265
                     81,                0.54638,                0.45183,                 0.9411,                0.60751,                0.42818,                0.44438,                0.35454,                0.95739,                 1.7925,                 1.2333,             0.00015558,             0.00015558,             0.00015558
                     82,                0.54784,                0.45116,                 0.9379,                0.63023,                0.41662,                0.45294,                0.36142,                0.95458,                 1.7754,                 1.2386,             0.00014851,             0.00014851,             0.00014851
                     83,                0.54855,                0.45337,                0.93917,                0.65602,                0.40918,                0.44384,                0.35587,                 0.9566,                 1.7869,                 1.2433,             0.00014144,             0.00014144,             0.00014144
